known_bias,category_boost,popularity_boost,AUC,MRR,nDCG@5,nDCG@10,groups_seen,groups_evaluated,candidate_items_seen,cold_user_groups,cold_candidate_items,known_user_groups_with_no_train_candidates,evaluated_group_ratio
-0.05,0.0,0.0,0.6156971301963106,0.3328184815373344,0.3139519727817577,0.37589818769201505,50000,50000,1871285,6495,86323,89,1.0
-0.05,0.0,0.001,0.6166353647471462,0.3331289573854167,0.31413285837928523,0.3763617089378671,50000,50000,1871285,6495,86323,89,1.0
-0.05,0.02,0.0,0.6189205371413595,0.3343234347613273,0.3157340298126231,0.3776932058094166,50000,50000,1871285,6495,86323,89,1.0
-0.05,0.02,0.001,0.6196757546437535,0.33445919889865544,0.3157519927667084,0.3780279245779494,50000,50000,1871285,6495,86323,89,1.0
0.0,0.0,0.0,0.6145770914553728,0.3321610917492494,0.31361235608395627,0.3754852425701506,50000,50000,1871285,6495,86323,89,1.0
0.0,0.0,0.001,0.6155288412510989,0.33245626164774106,0.3137012582819562,0.3759455212063511,50000,50000,1871285,6495,86323,89,1.0
0.0,0.02,0.0,0.6175929585393882,0.33349207875453757,0.3151908033829377,0.37708757727462056,50000,50000,1871285,6495,86323,89,1.0
0.0,0.02,0.001,0.6184578999702703,0.3336262545898593,0.31512856330076744,0.37736901882362,50000,50000,1871285,6495,86323,89,1.0
0.05,0.0,0.0,0.6132137972555217,0.33055036292421447,0.3121221384773825,0.3743622871025417,50000,50000,1871285,6495,86323,89,1.0
0.05,0.0,0.001,0.6142436106847301,0.33086345987630367,0.3123534017829118,0.37486734033328123,50000,50000,1871285,6495,86323,89,1.0
0.05,0.02,0.0,0.6164942348876833,0.3316140143746531,0.3136913538448718,0.3758275768516316,50000,50000,1871285,6495,86323,89,1.0
0.05,0.02,0.001,0.6172694930438812,0.33184223522581674,0.31368913181210123,0.3762676658728563,50000,50000,1871285,6495,86323,89,1.0
0.1,0.0,0.0,0.6124225276572176,0.33036925284499574,0.3118511625535212,0.37421414717200513,50000,50000,1871285,6495,86323,89,1.0
0.1,0.0,0.001,0.6131950617261298,0.3305999259555762,0.31194934778205563,0.37457514417861826,50000,50000,1871285,6495,86323,89,1.0
0.1,0.02,0.0,0.6157707697033421,0.3314329083002864,0.3134225127269399,0.3756075455965432,50000,50000,1871285,6495,86323,89,1.0
0.1,0.02,0.001,0.6164881134913172,0.3316539057986559,0.3133810897593329,0.37603757963764894,50000,50000,1871285,6495,86323,89,1.0
