config_id,loss,no_components,learning_rate,epochs,item_alpha,user_alpha,AUC,MRR,nDCG@5,nDCG@10,groups_seen,groups_evaluated,groups_skipped_unknown_user,groups_skipped_no_known_items,groups_skipped_single_class,known_candidate_item_ratio,evaluated_group_ratio
loss-bpr_comp-30_lr-0p01_epochs-10_ia-0p0_ua-0p0,bpr,30,0.01,10,0.0,0.0,0.6240648742977515,0.3322271440757942,0.3122518727532799,0.37664376369884384,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-30_lr-0p03_epochs-10_ia-0p0_ua-0p0,bpr,30,0.03,10,0.0,0.0,0.6304234608346767,0.3290801906073138,0.3113632514122467,0.37617196393709923,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-30_lr-0p05_epochs-10_ia-0p0_ua-0p0,bpr,30,0.05,10,0.0,0.0,0.6344221881086729,0.3325837817352026,0.3149453467871492,0.37889000151171026,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-50_lr-0p01_epochs-10_ia-0p0_ua-0p0,bpr,50,0.01,10,0.0,0.0,0.6286203311018306,0.33540176684485407,0.31587015125930623,0.3805286759733149,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-50_lr-0p03_epochs-10_ia-0p0_ua-0p0,bpr,50,0.03,10,0.0,0.0,0.6300765132766531,0.32690354484028755,0.30951364017936955,0.37378136177423105,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-50_lr-0p05_epochs-10_ia-0p0_ua-0p0,bpr,50,0.05,10,0.0,0.0,0.635080851495332,0.33212819643066394,0.3152338780291014,0.3794081038437368,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-100_lr-0p01_epochs-10_ia-0p0_ua-0p0,bpr,100,0.01,10,0.0,0.0,0.6310946514086618,0.3368663034783001,0.31765367000176936,0.38155236992008607,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-100_lr-0p03_epochs-10_ia-0p0_ua-0p0,bpr,100,0.03,10,0.0,0.0,0.631080568360685,0.3271169483300017,0.3102974756717666,0.3748963468579825,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-100_lr-0p05_epochs-10_ia-0p0_ua-0p0,bpr,100,0.05,10,0.0,0.0,0.6338747658428798,0.3304931601781812,0.313049936014835,0.37827701163243654,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
