user_a,user_b,story_id_jaccard,headline_jaccard,shared_story_ids,shared_headlines
U18219,U323756,0.0,0.0,0,0
U18219,U472511,0.0,0.0,0,0
U18219,U48303,0.0,0.0,0,0
U18219,U492046,0.0,0.0,0,0
U18219,U523035,0.0,0.0,0,0
U18219,U605742,0.0,0.0,0,0
U18219,U673004,0.0,0.0,0,0
U18219,U748208,0.0,0.0,0,0
U18219,U819406,0.0,0.0,0,0
U323756,U472511,0.0,0.0,0,0
U323756,U48303,0.0,0.0,0,0
U323756,U492046,0.0,0.0,0,0
U323756,U523035,0.0,0.0,0,0
U323756,U605742,0.0,0.0,0,0
U323756,U673004,0.0,0.0,0,0
U323756,U748208,0.0,0.0,0,0
U323756,U819406,0.0,0.0,0,0
U472511,U48303,0.0,0.0,0,0
U472511,U492046,0.0,0.0,0,0
U472511,U523035,0.0,0.0,0,0
U472511,U605742,0.0,0.0,0,0
U472511,U673004,0.0,0.0,0,0
U472511,U748208,0.0,0.0,0,0
U472511,U819406,0.0,0.0,0,0
U48303,U492046,0.0,0.0,0,0
U48303,U523035,0.0,0.0,0,0
U48303,U605742,0.0,0.0,0,0
U48303,U673004,0.0,0.0,0,0
U48303,U748208,0.0,0.0,0,0
U48303,U819406,0.0,0.0,0,0
U492046,U523035,0.0,0.0,0,0
U492046,U605742,0.0,0.0,0,0
U492046,U673004,0.0,0.0,0,0
U492046,U748208,0.0,0.0,0,0
U492046,U819406,0.0,0.0,0,0
U523035,U605742,0.0,0.0,0,0
U523035,U673004,0.0,0.0,0,0
U523035,U748208,0.0,0.0,0,0
U523035,U819406,0.0,0.0,0,0
U605742,U673004,0.0,0.0,0,0
U605742,U748208,0.5384615384615384,0.25,7,1
U605742,U819406,0.42857142857142855,0.25,6,1
U673004,U748208,0.0,0.0,0,0
U673004,U819406,0.0,0.0,0,0
U748208,U819406,0.8181818181818182,1.0,9,2
