config_id,loss,no_components,learning_rate,epochs,item_alpha,user_alpha,AUC,MRR,nDCG@5,nDCG@10,groups_seen,groups_evaluated,groups_skipped_unknown_user,groups_skipped_no_known_items,groups_skipped_single_class,known_candidate_item_ratio,evaluated_group_ratio
loss-warp_comp-30_lr-0p03_epochs-5_ia-0p0_ua-0p0,warp,30,0.03,5,0.0,0.0,0.5809338816346958,0.28190141272120783,0.2597260301799434,0.3277702542509737,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-warp_comp-50_lr-0p03_epochs-5_ia-0p0_ua-0p0,warp,50,0.03,5,0.0,0.0,0.5797631892839883,0.2821118913333606,0.2601151935472553,0.3275840728050123,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-30_lr-0p03_epochs-5_ia-0p0_ua-0p0,bpr,30,0.03,5,0.0,0.0,0.6305484725084138,0.33493387673234487,0.31596703727112885,0.37994437940171905,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
loss-bpr_comp-50_lr-0p03_epochs-5_ia-0p0_ua-0p0,bpr,50,0.03,5,0.0,0.0,0.6317035733320305,0.33385444942921966,0.3162563520820664,0.37946129257677674,62572,50000,8138,860,3574,0.8306279057028806,0.7990794604615483
