user_a,user_b,story_id_jaccard,headline_jaccard,shared_story_ids,shared_headlines
U100950,U106375,0.0,0.0,0,0
U100950,U107331,0.0,0.0,0,0
U100950,U108413,0.0,0.0,0,0
U100950,U110273,0.0,0.0,0,0
U100950,U11207,0.6666666666666666,0.6666666666666666,8,4
U100950,U115316,0.0,0.0,0,0
U100950,U117194,0.0,0.0,0,0
U100950,U117215,0.0,0.0,0,0
U100950,U11740,0.0,0.0,0,0
U100950,U118925,0.0,0.0,0,0
U100950,U122403,0.0,0.0,0,0
U100950,U123273,0.0,0.0,0,0
U100950,U126526,0.0,0.0,0,0
U100950,U127547,0.0,0.0,0,0
U100950,U128128,0.0,0.0,0,0
U100950,U13226,0.0,0.0,0,0
U100950,U132358,0.0,0.0,0,0
U100950,U135776,0.0,0.0,0,0
U100950,U137585,0.0,0.0,0,0
U100950,U140612,0.0,0.0,0,0
U100950,U141959,0.0,0.0,0,0
U100950,U143202,0.0,0.0,0,0
U100950,U146809,0.0,0.0,0,0
U100950,U154294,0.0,0.0,0,0
U100950,U155936,0.0,0.0,0,0
U100950,U156768,0.0,0.0,0,0
U100950,U159647,0.0,0.0,0,0
U100950,U160429,0.6666666666666666,0.6666666666666666,8,4
U100950,U16400,0.0,0.0,0,0
U100950,U167606,0.0,0.0,0,0
U100950,U167609,0.0,0.0,0,0
U100950,U168825,0.0,0.0,0,0
U100950,U169039,0.0,0.0,0,0
U100950,U170818,0.0,0.0,0,0
U100950,U173902,0.0,0.0,0,0
U100950,U178408,0.0,0.0,0,0
U100950,U17841,0.0,0.0,0,0
U100950,U179431,0.6666666666666666,0.6666666666666666,8,4
U100950,U180025,0.0,0.0,0,0
U100950,U180334,0.0,0.0,0,0
U100950,U180819,0.0,0.0,0,0
U100950,U181126,0.0,0.0,0,0
U100950,U181262,0.0,0.0,0,0
U100950,U181651,0.0,0.0,0,0
U100950,U182142,0.0,0.0,0,0
U100950,U182700,0.0,0.0,0,0
U100950,U183599,0.0,0.0,0,0
U100950,U184807,0.0,0.0,0,0
U100950,U185064,0.0,0.0,0,0
U100950,U186120,0.0,0.0,0,0
U100950,U187013,0.0,0.0,0,0
U100950,U187634,0.0,0.0,0,0
U100950,U189372,0.0,0.0,0,0
U100950,U191317,0.0,0.0,0,0
U100950,U192165,0.0,0.0,0,0
U100950,U195252,0.0,0.0,0,0
U100950,U195502,0.0,0.0,0,0
U100950,U196001,0.0,0.0,0,0
U100950,U197686,0.0,0.0,0,0
U100950,U199930,0.0,0.0,0,0
U100950,U201416,0.0,0.0,0,0
U100950,U203077,0.0,0.0,0,0
U100950,U204263,0.0,0.0,0,0
U100950,U206787,0.0,0.0,0,0
U100950,U207704,0.0,0.0,0,0
U100950,U207736,0.0,0.0,0,0
U100950,U21011,0.0,0.0,0,0
U100950,U213360,0.0,0.0,0,0
U100950,U213653,0.0,0.0,0,0
U100950,U216293,0.0,0.0,0,0
U100950,U219219,0.0,0.0,0,0
U100950,U219969,0.0,0.0,0,0
U100950,U22197,0.6666666666666666,0.5714285714285714,8,4
U100950,U227325,0.0,0.0,0,0
U100950,U230317,0.0,0.0,0,0
U100950,U23215,0.0,0.0,0,0
U100950,U232410,0.0,0.0,0,0
U100950,U233705,0.0,0.0,0,0
U100950,U233771,0.0,0.0,0,0
U100950,U235764,0.8181818181818182,1.0,9,5
U100950,U2392,0.0,0.0,0,0
U100950,U239631,0.0,0.0,0,0
U100950,U239731,0.0,0.0,0,0
U100950,U240524,0.0,0.0,0,0
U100950,U241657,0.0,0.0,0,0
U100950,U241743,0.0,0.0,0,0
U100950,U241799,0.8181818181818182,1.0,9,5
U100950,U242419,0.5384615384615384,0.6666666666666666,7,4
U100950,U242938,0.0,0.0,0,0
U100950,U24508,0.0,0.0,0,0
U100950,U245150,0.0,0.0,0,0
U100950,U245991,0.0,0.0,0,0
U100950,U246932,0.6666666666666666,0.5714285714285714,8,4
U100950,U248649,0.0,0.0,0,0
U100950,U25197,0.0,0.0,0,0
U100950,U253404,0.0,0.0,0,0
U100950,U256081,0.0,0.0,0,0
U100950,U259391,0.0,0.0,0,0
U100950,U259859,0.0,0.0,0,0
U100950,U262939,0.0,0.0,0,0
U100950,U263160,0.0,0.0,0,0
U100950,U264403,0.0,0.0,0,0
U100950,U264854,0.0,0.0,0,0
U100950,U265711,0.0,0.0,0,0
U100950,U265812,0.0,0.0,0,0
U100950,U266379,0.0,0.0,0,0
U100950,U266415,0.0,0.0,0,0
U100950,U270797,0.6666666666666666,0.6666666666666666,8,4
U100950,U272231,0.0,0.0,0,0
U100950,U275782,0.0,0.0,0,0
U100950,U278494,0.0,0.0,0,0
U100950,U278756,0.0,0.0,0,0
U100950,U280655,0.0,0.0,0,0
U100950,U281349,0.0,0.0,0,0
U100950,U281977,0.0,0.0,0,0
U100950,U282896,0.0,0.0,0,0
U100950,U283936,0.0,0.0,0,0
U100950,U284066,0.0,0.0,0,0
U100950,U28833,0.0,0.0,0,0
U100950,U289268,0.0,0.0,0,0
U100950,U290068,0.0,0.0,0,0
U100950,U291605,0.0,0.0,0,0
U100950,U293394,0.0,0.0,0,0
U100950,U297013,0.0,0.0,0,0
U100950,U298217,0.0,0.0,0,0
U100950,U299720,0.0,0.0,0,0
U100950,U300607,0.6666666666666666,0.5714285714285714,8,4
U100950,U302408,0.8181818181818182,1.0,9,5
U100950,U302669,0.0,0.0,0,0
U100950,U30311,0.0,0.0,0,0
U100950,U307774,0.0,0.0,0,0
U100950,U311395,0.0,0.0,0,0
U100950,U312574,0.0,0.0,0,0
U100950,U312854,0.0,0.0,0,0
U100950,U31305,0.6666666666666666,0.6666666666666666,8,4
U100950,U316820,0.0,0.0,0,0
U100950,U317669,0.0,0.0,0,0
U100950,U318042,0.0,0.0,0,0
U100950,U318219,0.0,0.0,0,0
U100950,U323356,0.0,0.0,0,0
U100950,U32363,0.0,0.0,0,0
U100950,U324233,0.0,0.0,0,0
U100950,U325505,0.0,0.0,0,0
U100950,U326696,0.0,0.0,0,0
U100950,U327210,0.0,0.0,0,0
U100950,U328662,0.6666666666666666,0.6666666666666666,8,4
U100950,U329835,0.3333333333333333,0.42857142857142855,5,3
U100950,U329958,0.5384615384615384,0.6666666666666666,7,4
U100950,U332236,0.6666666666666666,0.6666666666666666,8,4
U100950,U332909,0.0,0.0,0,0
U100950,U337523,0.0,0.0,0,0
U100950,U338386,0.0,0.0,0,0
U100950,U341497,0.0,0.0,0,0
U100950,U342487,0.0,0.0,0,0
U100950,U345094,0.0,0.0,0,0
U100950,U345391,0.0,0.0,0,0
U100950,U346896,0.0,0.0,0,0
U100950,U355178,0.0,0.0,0,0
U100950,U356204,0.0,0.0,0,0
U100950,U356567,0.0,0.0,0,0
U100950,U357766,0.0,0.0,0,0
U100950,U363636,0.0,0.0,0,0
U100950,U366089,0.0,0.0,0,0
U100950,U366515,0.0,0.0,0,0
U100950,U371843,0.0,0.0,0,0
U100950,U372432,0.0,0.0,0,0
U100950,U377553,0.0,0.0,0,0
U100950,U382114,0.0,0.0,0,0
U100950,U38305,0.0,0.0,0,0
U100950,U384197,0.0,0.0,0,0
U100950,U386147,0.0,0.0,0,0
U100950,U386983,0.6666666666666666,0.6666666666666666,8,4
U100950,U390843,0.0,0.0,0,0
U100950,U394178,0.0,0.0,0,0
U100950,U396941,0.0,0.0,0,0
U100950,U397814,0.6666666666666666,0.6666666666666666,8,4
U100950,U399612,0.0,0.0,0,0
U100950,U40019,0.0,0.0,0,0
U100950,U401309,0.0,0.0,0,0
U100950,U401865,0.0,0.0,0,0
U100950,U402562,0.0,0.0,0,0
U100950,U402651,0.0,0.0,0,0
U100950,U405225,0.0,0.0,0,0
U100950,U412748,0.6666666666666666,0.6666666666666666,8,4
U100950,U41342,0.5384615384615384,0.5714285714285714,7,4
U100950,U416604,0.0,0.0,0,0
U100950,U418303,0.0,0.0,0,0
U100950,U423916,0.0,0.0,0,0
U100950,U42848,0.6666666666666666,0.6666666666666666,8,4
U100950,U430109,0.6666666666666666,0.5714285714285714,8,4
U100950,U430589,0.0,0.0,0,0
U100950,U43093,0.0,0.0,0,0
U100950,U432226,0.0,0.0,0,0
U100950,U433053,0.0,0.0,0,0
U100950,U433914,0.0,0.0,0,0
U100950,U435861,0.0,0.0,0,0
U100950,U436561,0.0,0.0,0,0
U100950,U437421,0.0,0.0,0,0
U100950,U438409,0.0,0.0,0,0
U100950,U443217,0.0,0.0,0,0
U100950,U443765,0.0,0.0,0,0
U100950,U44395,0.0,0.0,0,0
U100950,U445375,0.0,0.0,0,0
U100950,U447125,0.0,0.0,0,0
U100950,U448364,0.0,0.0,0,0
U100950,U4484,0.0,0.0,0,0
U100950,U450888,0.0,0.0,0,0
U100950,U451612,0.6666666666666666,0.5714285714285714,8,4
U100950,U453126,0.0,0.0,0,0
U100950,U455237,0.0,0.0,0,0
U100950,U456121,0.0,0.0,0,0
U100950,U457438,0.0,0.0,0,0
U100950,U458896,0.6666666666666666,0.6666666666666666,8,4
U100950,U459645,0.0,0.0,0,0
U100950,U461328,0.0,0.0,0,0
U100950,U462260,0.0,0.0,0,0
U100950,U462352,0.0,0.0,0,0
U100950,U464109,0.0,0.0,0,0
U100950,U468146,0.0,0.0,0,0
U100950,U471231,0.0,0.0,0,0
U100950,U471686,0.0,0.0,0,0
U100950,U472300,0.0,0.0,0,0
U100950,U473624,1.0,1.0,10,5
U100950,U474392,0.0,0.0,0,0
U100950,U475463,0.0,0.0,0,0
U100950,U479917,0.0,0.0,0,0
U100950,U480119,0.0,0.0,0,0
U100950,U480131,0.0,0.0,0,0
U100950,U481346,0.0,0.0,0,0
U100950,U482814,0.0,0.0,0,0
U100950,U484776,0.6666666666666666,0.6666666666666666,8,4
U100950,U486172,0.0,0.0,0,0
U100950,U487497,0.0,0.0,0,0
U100950,U487956,0.0,0.0,0,0
U100950,U488254,0.0,0.0,0,0
U100950,U489602,0.0,0.0,0,0
U100950,U491825,0.0,0.0,0,0
U100950,U492282,0.0,0.0,0,0
U100950,U492917,0.0,0.0,0,0
U100950,U493934,0.0,0.0,0,0
U100950,U496956,0.8181818181818182,1.0,9,5
U100950,U498219,0.0,0.0,0,0
U100950,U501098,0.0,0.0,0,0
U100950,U501357,0.0,0.0,0,0
U100950,U504411,0.0,0.0,0,0
U100950,U505379,0.0,0.0,0,0
U100950,U505425,0.0,0.0,0,0
U100950,U50575,0.0,0.0,0,0
U100950,U506,0.0,0.0,0,0
U100950,U507739,0.0,0.0,0,0
U100950,U508783,0.0,0.0,0,0
U100950,U510688,0.0,0.0,0,0
U100950,U511513,0.0,0.0,0,0
U100950,U512311,0.0,0.0,0,0
U100950,U514056,0.0,0.0,0,0
U100950,U516125,0.0,0.0,0,0
U100950,U518478,0.0,0.0,0,0
U100950,U518659,0.0,0.0,0,0
U100950,U519407,0.0,0.0,0,0
U100950,U519440,0.0,0.0,0,0
U100950,U520182,0.0,0.0,0,0
U100950,U520780,0.0,0.0,0,0
U100950,U520881,0.0,0.0,0,0
U100950,U521232,0.6666666666666666,0.6666666666666666,8,4
U100950,U521896,0.0,0.0,0,0
U100950,U522630,0.0,0.0,0,0
U100950,U522797,0.0,0.0,0,0
U100950,U526598,0.0,0.0,0,0
U100950,U529360,0.0,0.0,0,0
U100950,U529481,0.6666666666666666,0.6666666666666666,8,4
U100950,U529603,0.0,0.0,0,0
U100950,U529804,0.0,0.0,0,0
U100950,U530815,0.0,0.0,0,0
U100950,U532241,0.0,0.0,0,0
U100950,U532436,0.0,0.0,0,0
U100950,U533215,0.0,0.0,0,0
U100950,U533222,0.6666666666666666,0.6666666666666666,8,4
U100950,U535114,0.0,0.0,0,0
U100950,U540476,0.0,0.0,0,0
U100950,U546514,1.0,1.0,10,5
U100950,U549110,0.0,0.0,0,0
U100950,U55013,0.0,0.0,0,0
U100950,U550218,0.0,0.0,0,0
U100950,U551827,0.0,0.0,0,0
U100950,U553822,0.6666666666666666,0.6666666666666666,8,4
U100950,U55421,0.0,0.0,0,0
U100950,U561630,0.0,0.0,0,0
U100950,U563128,0.0,0.0,0,0
U100950,U563197,0.0,0.0,0,0
U100950,U572190,0.0,0.0,0,0
U100950,U572466,0.0,0.0,0,0
U100950,U573318,0.6666666666666666,0.6666666666666666,8,4
U100950,U573409,0.6666666666666666,0.6666666666666666,8,4
U100950,U573966,0.0,0.0,0,0
U100950,U575355,1.0,1.0,10,5
U100950,U576120,0.0,0.0,0,0
U100950,U576209,0.0,0.0,0,0
U100950,U577198,0.0,0.0,0,0
U100950,U579826,0.0,0.0,0,0
U100950,U580142,0.0,0.0,0,0
U100950,U584093,0.0,0.0,0,0
U100950,U588489,0.0,0.0,0,0
U100950,U590376,0.0,0.0,0,0
U100950,U590830,0.0,0.0,0,0
U100950,U594820,0.0,0.0,0,0
U100950,U596217,0.5384615384615384,0.6666666666666666,7,4
U100950,U597213,0.6666666666666666,0.6666666666666666,8,4
U100950,U59892,0.0,0.0,0,0
U100950,U602184,0.0,0.0,0,0
U100950,U602829,0.0,0.0,0,0
U100950,U603265,0.0,0.0,0,0
U100950,U604788,0.0,0.0,0,0
U100950,U605456,0.0,0.0,0,0
U100950,U606524,0.0,0.0,0,0
U100950,U608354,0.6666666666666666,0.6666666666666666,8,4
U100950,U608722,0.0,0.0,0,0
U100950,U60960,0.0,0.0,0,0
U100950,U61378,0.0,0.0,0,0
U100950,U615136,0.0,0.0,0,0
U100950,U616107,0.0,0.0,0,0
U100950,U619632,0.0,0.0,0,0
U100950,U620360,0.0,0.0,0,0
U100950,U621134,0.0,0.0,0,0
U100950,U621870,0.0,0.0,0,0
U100950,U622034,0.0,0.0,0,0
U100950,U622631,0.0,0.0,0,0
U100950,U624133,0.0,0.0,0,0
U100950,U624729,0.0,0.0,0,0
U100950,U629138,0.0,0.0,0,0
U100950,U630534,0.0,0.0,0,0
U100950,U630748,0.0,0.0,0,0
U100950,U634656,0.0,0.0,0,0
U100950,U636211,0.0,0.0,0,0
U100950,U637101,0.0,0.0,0,0
U100950,U638784,0.0,0.0,0,0
U100950,U639653,0.0,0.0,0,0
U100950,U63988,0.0,0.0,0,0
U100950,U640719,0.6666666666666666,0.6666666666666666,8,4
U100950,U642404,0.0,0.0,0,0
U100950,U644045,0.0,0.0,0,0
U100950,U64416,0.5384615384615384,0.6666666666666666,7,4
U100950,U647491,0.0,0.0,0,0
U100950,U654736,0.0,0.0,0,0
U100950,U655739,0.0,0.0,0,0
U100950,U655983,0.0,0.0,0,0
U100950,U661693,0.6666666666666666,0.6666666666666666,8,4
U100950,U662520,0.0,0.0,0,0
U100950,U662825,0.0,0.0,0,0
U100950,U665278,0.0,0.0,0,0
U100950,U667702,0.0,0.0,0,0
U100950,U671467,0.0,0.0,0,0
U100950,U671491,0.0,0.0,0,0
U100950,U672340,0.0,0.0,0,0
U100950,U672607,0.0,0.0,0,0
U100950,U672681,0.0,0.0,0,0
U100950,U673496,0.0,0.0,0,0
U100950,U676849,0.0,0.0,0,0
U100950,U681426,0.0,0.0,0,0
U100950,U683689,0.0,0.0,0,0
U100950,U683847,0.0,0.0,0,0
U100950,U687145,0.0,0.0,0,0
U100950,U688161,0.0,0.0,0,0
U100950,U688559,0.0,0.0,0,0
U100950,U692847,0.0,0.0,0,0
U100950,U694652,0.0,0.0,0,0
U100950,U695786,0.0,0.0,0,0
U100950,U695936,0.0,0.0,0,0
U100950,U69620,0.0,0.0,0,0
U100950,U696951,0.0,0.0,0,0
U100950,U69713,0.0,0.0,0,0
U100950,U697392,0.0,0.0,0,0
U100950,U699240,0.0,0.0,0,0
U100950,U700438,0.0,0.0,0,0
U100950,U701108,0.6666666666666666,0.6666666666666666,8,4
U100950,U703417,0.0,0.0,0,0
U100950,U705023,0.0,0.0,0,0
U100950,U705065,0.0,0.0,0,0
U100950,U706433,0.0,0.0,0,0
U100950,U712113,0.0,0.0,0,0
U100950,U714683,0.0,0.0,0,0
U100950,U717583,0.0,0.0,0,0
U100950,U719060,0.0,0.0,0,0
U100950,U722275,0.0,0.0,0,0
U100950,U726695,0.0,0.0,0,0
U100950,U726860,0.0,0.0,0,0
U100950,U732663,0.0,0.0,0,0
U100950,U73835,0.0,0.0,0,0
U100950,U744420,0.0,0.0,0,0
U100950,U747287,0.0,0.0,0,0
U100950,U747715,0.0,0.0,0,0
U100950,U74939,0.0,0.0,0,0
U100950,U753361,0.0,0.0,0,0
U100950,U75337,0.0,0.0,0,0
U100950,U757166,0.0,0.0,0,0
U100950,U759945,0.0,0.0,0,0
U100950,U76000,0.0,0.0,0,0
U100950,U760328,0.0,0.0,0,0
U100950,U763237,0.0,0.0,0,0
U100950,U764089,0.0,0.0,0,0
U100950,U765967,0.0,0.0,0,0
